Date,Open,High,Low,Close,Adj Close,Volume
04-01-2016,16.450001,16.49,16.25,16.43,16.074842,114888000
05-01-2016,16.52,16.59,16.23,16.43,16.074842,66670000
06-01-2016,16.190001,16.290001,16.02,16.08,15.73241,102760800
07-01-2016,15.73,15.9,15.44,15.5,15.164948,116255900
08-01-2016,15.94,15.94,15.16,15.2,14.871432,124782400
11-01-2016,15.26,15.37,14.94,15.31,14.979056,104611700
12-01-2016,15.54,15.58,15.06,15.31,14.979056,100023500
13-01-2016,15.47,15.52,14.85,14.9,14.577917,119413000
14-01-2016,15.01,15.2,14.65,14.99,14.665972,125920000
15-01-2016,14.41,14.66,14.13,14.46,14.147428,170939300
19-01-2016,14.69,14.79,14.01,14.24,13.932184,185727400
20-01-2016,13.79,14,13.27,13.69,13.394073,250537600
21-01-2016,13.67,13.84,13.25,13.36,13.071205,188976000
22-01-2016,13.65,13.72,13.47,13.56,13.266884,169999800
25-01-2016,13.54,13.55,12.94,12.96,12.679852,186419100
26-01-2016,13.07,13.35,13.04,13.31,13.022287,124246900
27-01-2016,13.2,13.73,13.19,13.36,13.071205,124095800
28-01-2016,13.59,13.71,13.26,13.53,13.237532,110996200
29-01-2016,13.66,14.15,13.59,14.14,13.834346,159984100
01-02-2016,14.05,14.09,13.8,13.96,13.658237,105739400
02-02-2016,13.74,13.75,13.13,13.23,12.944015,147101200
03-02-2016,13.28,13.29,12.52,13.03,12.748339,257664600
04-02-2016,12.89,13.59,12.89,13.25,12.963585,179394400
05-02-2016,13.32,13.39,12.89,12.95,12.67007,125842800
08-02-2016,12.67,12.7,12.13,12.27,12.004767,221363600
09-02-2016,11.99,12.43,11.96,12.2,11.936282,247349000
10-02-2016,12.42,12.54,11.91,11.98,11.721036,227530000
11-02-2016,11.46,11.55,10.99,11.16,10.918761,375088700
12-02-2016,11.48,12.03,11.4,11.95,11.691684,245388400
16-02-2016,12.38,12.39,12.11,12.25,11.985201,194306700
17-02-2016,12.57,12.69,12.47,12.56,12.288501,221859400
18-02-2016,12.71,12.74,12.1,12.24,11.975416,161539400
19-02-2016,12.22,12.24,11.98,12.13,11.867795,121045600
22-02-2016,12.13,12.54,12.13,12.54,12.268931,88865500
23-02-2016,12.47,12.48,12.1,12.16,11.897147,104498700
24-02-2016,11.96,12.15,11.65,12.13,11.867795,159552800
25-02-2016,12.14,12.33,12.09,12.32,12.053688,103054600
26-02-2016,12.49,12.95,12.4,12.7,12.425472,160314400
29-02-2016,12.7,12.86,12.51,12.52,12.249365,123661100
01-03-2016,12.64,13.21,12.62,13.19,12.90488,153558200
02-03-2016,13.2,13.51,13.13,13.41,13.170049,139622500
03-03-2016,13.38,13.55,13.25,13.5,13.258438,105082700
04-03-2016,13.76,13.89,13.49,13.54,13.297724,171410900
07-03-2016,13.45,13.62,13.37,13.53,13.287903,97650300
08-03-2016,13.4,13.47,13.05,13.06,12.826314,125894800
09-03-2016,13.17,13.27,13,13.14,12.904881,92253800
10-03-2016,13.23,13.4,13,13.27,13.032556,123016200
11-03-2016,13.44,13.84,13.37,13.79,13.543251,120400600
14-03-2016,13.72,13.74,13.49,13.64,13.395935,87746800
15-03-2016,13.51,13.6,13.39,13.57,13.327188,80404000
16-03-2016,13.51,13.81,13.09,13.31,13.071839,149645400
17-03-2016,13.22,13.48,13.05,13.4,13.16023,122212300
18-03-2016,13.68,13.88,13.55,13.79,13.543251,146616200
21-03-2016,13.8,14.03,13.72,13.84,13.592355,104695700
22-03-2016,13.67,13.84,13.63,13.76,13.513788,83252100
23-03-2016,13.77,13.83,13.6,13.62,13.376293,95789700
24-03-2016,13.41,13.69,13.27,13.68,13.435219,94836500
28-03-2016,13.73,13.74,13.54,13.62,13.376293,54498500
29-03-2016,13.54,13.54,13.26,13.42,13.179872,101606800
30-03-2016,13.49,13.66,13.46,13.48,13.238796,85897000
31-03-2016,13.49,13.71,13.45,13.52,13.278082,79592100
01-04-2016,13.47,13.65,13.32,13.56,13.317366,73130900
04-04-2016,13.54,13.65,13.41,13.51,13.268262,59709600
05-04-2016,13.3,13.34,13.16,13.19,12.953985,78445900
06-04-2016,13.2,13.3,13.11,13.27,13.032556,62558500
07-04-2016,13.15,13.21,12.75,12.85,12.62007,105704500
08-04-2016,13.03,13.14,12.86,12.88,12.649533,76548100
11-04-2016,12.92,13.09,12.88,12.97,12.737923,79411500
12-04-2016,13,13.33,12.93,13.27,13.032556,100791600
13-04-2016,13.55,13.85,13.53,13.79,13.543251,138647200
14-04-2016,13.71,14.28,13.7,14.14,13.886988,179383300
15-04-2016,14.27,14.29,13.95,14,13.749493,87958700
18-04-2016,13.85,14.24,13.82,14.17,13.916451,80257400
19-04-2016,14.26,14.54,14.24,14.45,14.191441,107153600
20-04-2016,14.56,14.94,14.53,14.93,14.662852,115628700
21-04-2016,14.93,15.14,14.75,14.9,14.633388,121589000
22-04-2016,14.87,15.14,14.87,15.11,14.839631,83456600
25-04-2016,15.02,15.14,14.81,14.96,14.692315,70489500
26-04-2016,15.02,15.14,14.8,15.09,14.81999,84812400
