Date,Open,High,Low,Close,Adj Close,Volume
04-01-2016,16.450001,16.49,16.25,16.43,16.074842,114888000
05-01-2016,16.52,16.59,16.23,16.43,16.074842,66670000
06-01-2016,16.190001,16.290001,16.02,16.08,15.73241,102760800
07-01-2016,15.73,15.9,15.44,15.5,15.164948,116255900
08-01-2016,15.94,15.94,15.16,15.2,14.871432,124782400
11-01-2016,15.26,15.37,14.94,15.31,14.979056,104611700
12-01-2016,15.54,15.58,15.06,15.31,14.979056,100023500
13-01-2016,15.47,15.52,14.85,14.9,14.577917,119413000
14-01-2016,15.01,15.2,14.65,14.99,14.665972,125920000
15-01-2016,14.41,14.66,14.13,14.46,14.147428,170939300
19-01-2016,14.69,14.79,14.01,14.24,13.932184,185727400
20-01-2016,13.79,14,13.27,13.69,13.394073,250537600
21-01-2016,13.67,13.84,13.25,13.36,13.071205,188976000
22-01-2016,13.65,13.72,13.47,13.56,13.266884,169999800
25-01-2016,13.54,13.55,12.94,12.96,12.679852,186419100
26-01-2016,13.07,13.35,13.04,13.31,13.022287,124246900
27-01-2016,13.2,13.73,13.19,13.36,13.071205,124095800
28-01-2016,13.59,13.71,13.26,13.53,13.237532,110996200

